case,implementation,status,error,dimension,family,input_format,output_format,wb,betatotal,aspect,raxis_cc,volume_p,iotaf_edge,pressure_axis,plasma_current
PARVMEC/Testing/tests/free_boundary_test/test,vmex,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_asym,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_asym,desc,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007407036076975752,0.0,3.000000000477511,0.7493429270598776,0.9252754127494034,-0.3403724729878604,0.0,-39999.99993999999
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.000749952683632707,0.015708944145103994,2.9999999999999996,0.7629778279943614,0.9252754126021273,0.34059080212463433,399.99999999999994,40000.17032055629
PARVMEC/Testing/tests/lasym_test/test_asym,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_asym,gvec,failed,Unsupported: VMEC pressure profile of type line_segment is not supported for conversion,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_asym,jvmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.000749952683632707,0.015708944145103994,2.9999999999999996,0.7629778279943565,0.9252754126021273,0.34059080212464776,399.99999999999994,40000.170320556295
PARVMEC/Testing/tests/lasym_test/test_asym,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_asym,spectre,failed,Run failed,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526567962987,0.015708944703283118,2.9999999999999996,0.7629697411718891,0.9252754126021273,0.34059068288060546,399.99999999999994,40000.17034945363
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526817788442,0.0,2.9999999999999996,0.7629798240916639,0.9252754126021273,0.3405899286092604,0.0,40000.17032055625
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526836327071,0.015708944145103997,3.0000000000000013,0.7629778279943616,0.9252754126021271,0.34059080212463616,399.99999999999994,40000.1703205563
PARVMEC/Testing/tests/lasym_test/test_sym,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_sym,desc,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007407048164296386,0.0,3.0000000004573946,0.7496981442889861,0.9252754127431984,-0.3406423468043729,0.0,-39999.999939999994
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526836327072,0.015708944145103997,3.0,0.7629778279943636,0.9252754126021275,0.3405908021246178,399.99999999999994,40000.170320556295
PARVMEC/Testing/tests/lasym_test/test_sym,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_sym,gvec,failed,Unsupported: VMEC pressure profile of type line_segment is not supported for conversion,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_sym,jvmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.000749952683632707,0.015708944145103994,3.0,0.7629778279943625,0.9252754126021275,0.340590802124621,399.99999999999994,40000.17032055629
PARVMEC/Testing/tests/lasym_test/test_sym,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
PARVMEC/Testing/tests/lasym_test/test_sym,spectre,failed,Run failed,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
