case,implementation,runtime_seconds,timing_source
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_9X6,desc,110.47,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_9X6,educational_vmec,1.42,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_9X6,gvec,44.6,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_9X6,parvmec,13.8,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_9X6,vmec2000,13.68,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_9X6,vmecpp,14.04,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,desc,75.95,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,educational_vmec,0.82,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,gvec,65.4,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,jvmec,34.89,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,parvmec,1.54,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,vmec2000,1.49,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,vmecpp,3.04,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_lb,vmex,18.75,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,desc,71.95,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,educational_vmec,0.13,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,gvec,20.6,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,jvmec,10.53,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,parvmec,0.09,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,spectre,3.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,vmec2000,0.06,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf_test,vmecpp,0.68,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,desc,59.52,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,educational_vmec,0.14,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,gvec,19.2,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,jvmec,7.17,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,parvmec,0.44,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,spectre,0.187,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,vmec2000,0.41,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,vmecpp,0.92,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean10,vmex,14.31,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14,desc,58.32,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14,educational_vmec,0.12,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14,gvec,19.2,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14,parvmec,0.32,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14,spectre,0.221,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14,vmec2000,0.3,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14,vmecpp,0.85,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,desc,40.9,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,educational_vmec,0.07,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,gvec,18.3,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,jvmec,4.68,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,parvmec,0.09,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,vmec2000,0.09,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,vmecpp,0.76,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean14_test,vmex,13.11,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,desc,56.79,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,educational_vmec,0.15,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,gvec,19.5,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,parvmec,0.42,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,spectre,0.201,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,vmec2000,0.38,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,vmecpp,1.18,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/bean20,vmex,16.96,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt14,educational_vmec,0.05,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt14,parvmec,0.45,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt14,vmec2000,0.66,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt14,vmecpp,0.61,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt14,vmex,34.03,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt20,desc,73.04,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt20,educational_vmec,0.05,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt20,parvmec,2.13,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt20,vmec2000,2.32,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/belt20,vmecpp,0.58,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82_test,desc,59.72,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82_test,educational_vmec,0.1,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82_test,jvmec,7.38,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82_test,parvmec,0.09,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82_test,vmec2000,0.06,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82_test,vmecpp,0.7,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82_test,vmex,14.02,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac,desc,73.77,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac,educational_vmec,1.31,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac,jvmec,35.22,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac,parvmec,1.86,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac,vmec2000,1.88,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac,vmecpp,3.31,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac,vmex,24.05,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac14,desc,74.54,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac14,educational_vmec,1.29,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac14,jvmec,28.86,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac14,parvmec,11.42,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac14,vmec2000,6.03,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac14,vmecpp,3.75,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac14,vmex,28.5,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac20,desc,77.49,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac20,educational_vmec,1.25,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac20,parvmec,4.06,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac20,vmec2000,4.1,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/c82vac20,vmecpp,4.93,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs,desc,129.6,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs,educational_vmec,0.63,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs,jvmec,34.8,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs,parvmec,2.91,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs,vmec2000,3.09,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs,vmex,29.23,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs14,desc,126.97,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs14,educational_vmec,0.66,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs14,jvmec,47.26,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs14,parvmec,6.48,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs14,vmec2000,6.22,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/chs14,vmex,38.06,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/circle,educational_vmec,0.07,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/circle,gvec,19.6,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/circle,parvmec,1.5,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/circle,spectre,0.726,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/circle,vmec2000,1.42,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/circle,vmecpp,1.62,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/cooper,educational_vmec,2.33,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/cooper,parvmec,24.46,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/cooper,vmec2000,22.11,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/cooper,vmecpp,24.83,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/d3d,desc,300.44,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/d3d_curhole,desc,59.65,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/d3d_curhole,educational_vmec,0.17,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/d3d_curhole,gvec,22.2,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/d3d_curhole,jvmec,11.68,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/d3d_curhole,spectre,0.231,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/dshape10,desc,61.21,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/dshape14,desc,60.68,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/dshape20,desc,59.59,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/dshape_test,desc,59.84,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/elaz,desc,59.19,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/ellipse10,educational_vmec,0.38,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/ellipse10,gvec,19.1,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/ellipse10,jvmec,9.31,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/ellipse10,parvmec,1.05,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/ellipse10,vmec2000,1.03,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/ellipse10,vmecpp,1.54,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/ellipse10,vmex,22.06,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/hanson,desc,150.1,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac,desc,82.58,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac,educational_vmec,0.6,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac,jvmec,34.53,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac,parvmec,1.54,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac,vmec2000,1.43,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac,vmecpp,3.32,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac,vmex,17.6,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac.m8,desc,102.55,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac.m8,educational_vmec,0.77,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac.m8,jvmec,27.95,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac.m8,parvmec,2.49,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac.m8,vmec2000,2.44,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac.m8,vmecpp,4.27,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac.m8,vmex,19.91,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac14,desc,82.75,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac14,educational_vmec,0.65,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac14,jvmec,39.89,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac14,parvmec,2.63,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac14,vmec2000,2.61,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac14,vmecpp,4.38,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/heliac14,vmex,20.85,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,desc,85.32,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,educational_vmec,0.53,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,gvec,35.1,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,jvmec,30.6,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,parvmec,1.28,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,vmec2000,1.21,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,vmecpp,3.38,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias,vmex,18.23,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,desc,109.06,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,educational_vmec,0.72,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,gvec,41.9,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,jvmec,30.37,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,parvmec,1.87,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,vmec2000,1.78,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,vmecpp,4.16,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias.m8,vmex,18.3,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,desc,88.65,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,educational_vmec,0.53,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,gvec,35.0,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,jvmec,34.7,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,parvmec,2.39,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,vmec2000,2.35,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,vmecpp,3.84,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/helias14,vmex,23.65,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/m45.OHseries.1_fb,desc,128.12,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/m45.OHseries.1_fb,educational_vmec,0.09,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/m45.OHseries.1_fb,parvmec,3.97,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/m45.OHseries.1_fb,vmec2000,3.93,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/m45.OHseries.1_fb,vmecpp,1.2,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/m45.OHseries.1_fb,vmex,28.95,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas14,desc,258.97,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas14,educational_vmec,1.08,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas14,jvmec,62.8,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas14,parvmec,10.06,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas14,vmec2000,10.15,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas14,vmecpp,9.23,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas3,desc,255.32,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas3,educational_vmec,0.83,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas3,jvmec,36.11,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas3,parvmec,5.98,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas3,vmec2000,5.63,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas3,vmecpp,6.71,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qas3,vmex,35.26,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qps14,desc,120.89,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/qps_hb,desc,125.59,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/test,desc,54.55,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/test14,desc,59.96,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/test_opt0,desc,74.96,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/tichman,desc,60.34,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/tichman_orig,desc,57.29,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/tichman_orig,educational_vmec,0.23,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/tichman_orig,gvec,21.0,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/tichman_orig,jvmec,9.05,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/tichman_orig,spectre,1.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,desc,70.62,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,educational_vmec,0.33,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,gvec,41.4,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,jvmec,37.02,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,parvmec,2.71,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,vmec2000,2.76,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,vmecpp,4.51,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/uragon,vmex,23.1,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron,desc,73.49,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron,educational_vmec,0.59,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron,jvmec,38.68,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron,parvmec,2.09,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron,vmec2000,2.11,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron,vmecpp,3.5,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron,vmex,20.59,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron.m8,desc,100.06,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron.m8,educational_vmec,0.95,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron.m8,jvmec,42.47,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron.m8,parvmec,3.17,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron.m8,vmec2000,3.39,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron.m8,vmecpp,5.09,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron.m8,vmex,23.34,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron14,desc,73.09,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron14,educational_vmec,0.58,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron14,jvmec,49.74,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron14,parvmec,3.45,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron14,vmec2000,3.76,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron14,vmecpp,5.13,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/vinotron14,vmex,32.05,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7as_scaled,desc,73.43,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,desc,94.4,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,educational_vmec,0.81,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,gvec,40.4,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,jvmec,31.18,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,parvmec,1.8,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,spectre,326.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,vmec2000,1.9,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,vmecpp,3.8,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s,vmex,20.7,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,desc,247.61,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,educational_vmec,1.09,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,gvec,51.7,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,jvmec,56.78,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,parvmec,6.18,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,vmec2000,5.99,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,vmecpp,10.72,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s.m9,vmex,34.14,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,desc,98.75,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,educational_vmec,0.59,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,gvec,40.6,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,jvmec,35.11,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,parvmec,4.93,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,spectre,327.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,vmec2000,5.57,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,vmecpp,4.62,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s14,vmex,31.36,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s20,desc,82.04,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s20,educational_vmec,0.96,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s20,gvec,34.9,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s20,jvmec,43.84,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s20,parvmec,4.89,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s20,vmec2000,4.62,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/w7s20,vmecpp,5.23,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Convergence/str_lb,desc,123.4,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/JDHtest5,desc,132.17,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/JDHtest7,desc,130.47,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/asdex.tichman,desc,60.54,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/d3d,desc,317.46,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/laz_mtest,desc,179.29,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/laz_test,desc,187.31,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/laz_test2,desc,178.07,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Free_Boundary/tj2,desc,71.04,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,desc,170.25,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,educational_vmec,0.54,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,gvec,57.5,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,jvmec,49.54,total execution time (s)
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,parvmec,5.35,total computational time (s)
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,vmec2000,5.45,total computational time (s)
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,vmecpp,9.46,GNU time real (s)
