case,implementation,quality_status,quality_metric,residual,tolerance,residual_over_tolerance,iterations,solver_status,quality_source
educational_VMEC/from_STELLOPT_246/isaev1,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.79510717138425e-10,1e-09,0.9795107171384251,987.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_246/isaev1,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.99023481644741e-10,1e-09,0.999023481644741,968.0,0,wout_isaev1.nc
educational_VMEC/from_STELLOPT_246/laz,desc,converged,maximum normalized force error,0.0002754,,,5.0,success,desc.log
educational_VMEC/from_STELLOPT_246/qas3_p4,desc,converged,maximum normalized force error,0.001118,,,9.0,success,desc.log
educational_VMEC/from_STELLOPT_246/qas3_p4,educational_vmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",1.1335926029492214,1e-10,11335926029.492214,2.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_246/qas3_p4,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.875924866429921e-11,1e-10,0.987592486642992,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_STELLOPT_246/qas3_p4,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.855592162608957e-11,1e-10,0.9855592162608956,1560.0,0,wout_qas3_p4.nc
educational_VMEC/from_STELLOPT_246/qas3_p4,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.855719520646817e-11,1e-10,0.9855719520646816,1560.0,0,wout_qas3_p4.nc
educational_VMEC/from_STELLOPT_246/qas3_p4,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.921540471288718e-11,1e-10,0.9921540471288718,1352.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_246/qas3_p4,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.852516220393202e-11,1e-10,0.9852516220393202,1559.0,0,wout_qas3_p4.nc
educational_VMEC/from_STELLOPT_246/qps,desc,converged,maximum normalized force error,0.02657,,,8.0,success,desc.log
educational_VMEC/from_STELLOPT_246/single_null,desc,converged,maximum normalized force error,0.0004591,,,4.0,success,desc.log
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,desc,converged,maximum normalized force error,0.02039,,,1.0,success,desc.log
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,educational_vmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",0.032650824855220646,1e-11,3265082485.5220647,2.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.977788044763137e-12,1e-11,0.9977788044763138,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.870036613263698e-12,1e-11,0.9870036613263699,1477.0,0,wout_vinotron.m8_p4.nc
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.870035668554831e-12,1e-11,0.9870035668554832,1477.0,0,wout_vinotron.m8_p4.nc
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.967513948971575e-12,1e-11,0.9967513948971576,1425.0,0,wout_input.vinotron.nc
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.870027670498092e-12,1e-11,0.9870027670498093,1476.0,0,wout_vinotron.m8_p4.nc
educational_VMEC/from_STELLOPT_246/w7as_raw,desc,converged,maximum normalized force error,1.183e-06,,,8.0,success,desc.log
educational_VMEC/from_STELLOPT_246/w7as_scaled,desc,converged,maximum normalized force error,1.183e-06,,,8.0,success,desc.log
educational_VMEC/from_STELLOPT_246/w7as_scaled_beta0,desc,not_converged,maximum normalized force error,1.293e-07,,,2.0,failure,desc.log
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,desc,converged,maximum normalized force error,0.007601,,,5.0,success,desc.log
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,educational_vmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",0.05864480398820249,1e-11,5864480398.82025,2.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.853454917730028e-12,1e-11,0.9853454917730028,1301.0,0,wout_ncsx_c09r00_fixed.nc
