case,implementation,metric,value
PARVMEC/Testing/tests/lasym_test/test_asym,desc,pressure_axis,0.0
PARVMEC/Testing/tests/lasym_test/test_asym,desc,plasma_current,-39999.99993999999
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,wb,0.000749952683632707
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,betatotal,0.015708944145103994
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,aspect,2.9999999999999996
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,raxis_cc,0.7629778279943614
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,volume_p,0.9252754126021273
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,iotaf_edge,0.34059080212463433
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,plasma_current,40000.17032055629
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,wb,0.000749952683632707
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,betatotal,0.015708944145103994
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,aspect,2.9999999999999996
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,raxis_cc,0.7629778279943565
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,volume_p,0.9252754126021273
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,iotaf_edge,0.34059080212464776
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,plasma_current,40000.170320556295
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,wb,0.0007499526567962987
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,betatotal,0.015708944703283118
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,aspect,2.9999999999999996
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,raxis_cc,0.7629697411718891
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,volume_p,0.9252754126021273
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,iotaf_edge,0.34059068288060546
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,plasma_current,40000.17034945363
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,wb,0.0007499526817788442
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,betatotal,0.0
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,aspect,2.9999999999999996
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,raxis_cc,0.7629798240916639
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,volume_p,0.9252754126021273
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,iotaf_edge,0.3405899286092604
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,pressure_axis,0.0
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,plasma_current,40000.17032055625
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,wb,0.0007499526836327071
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,betatotal,0.015708944145103997
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,aspect,3.0000000000000013
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,raxis_cc,0.7629778279943616
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,volume_p,0.9252754126021271
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,iotaf_edge,0.34059080212463616
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,plasma_current,40000.1703205563
PARVMEC/Testing/tests/lasym_test/test_sym,desc,wb,0.0007407048164296386
PARVMEC/Testing/tests/lasym_test/test_sym,desc,betatotal,0.0
PARVMEC/Testing/tests/lasym_test/test_sym,desc,aspect,3.0000000004573946
PARVMEC/Testing/tests/lasym_test/test_sym,desc,raxis_cc,0.7496981442889861
PARVMEC/Testing/tests/lasym_test/test_sym,desc,volume_p,0.9252754127431984
PARVMEC/Testing/tests/lasym_test/test_sym,desc,iotaf_edge,-0.3406423468043729
PARVMEC/Testing/tests/lasym_test/test_sym,desc,pressure_axis,0.0
PARVMEC/Testing/tests/lasym_test/test_sym,desc,plasma_current,-39999.999939999994
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,wb,0.0007499526836327072
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,betatotal,0.015708944145103997
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,aspect,3.0
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,raxis_cc,0.7629778279943636
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,volume_p,0.9252754126021275
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,iotaf_edge,0.3405908021246178
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,plasma_current,40000.170320556295
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,wb,0.000749952683632707
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,betatotal,0.015708944145103994
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,aspect,3.0
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,raxis_cc,0.7629778279943625
